"","year","country_code","code_2","country","region","eu_member","frin"
"1","2014","AUT","AT","Austria","Continental","EU",0.717244
"2","2010","AUT","AT","Austria","Continental","EU",0.424493
"3","2016","AUT","AT","Austria","Continental","EU",0.685746
"4","2018","AUT","AT","Austria","Continental","EU",1.512119
"5","2012","AUT","AT","Austria","Continental","EU",0.717244
"6","2008","AUT","AT","Austria","Continental","EU",0.076157
"7","2008","BEL","BE","Belgium","Continental","EU",-0.120246
"8","2014","BEL","BE","Belgium","Continental","EU",1.182311
"9","2012","BEL","BE","Belgium","Continental","EU",-0.092453
"10","2016","BEL","BE","Belgium","Continental","EU",1.265689
"11","2018","BEL","BE","Belgium","Continental","EU",1.425035
"12","2010","BEL","BE","Belgium","Continental","EU",-0.120246
"13","2014","BGR","BG","Bulgaria","Eastern","EU",2.599744
"14","2012","BGR","BG","Bulgaria","Eastern","EU",1.236043
"15","2008","BGR","BG","Bulgaria","Eastern","EU",0.724656
"16","2010","BGR","BG","Bulgaria","Eastern","EU",0.724656
"17","2016","BGR","BG","Bulgaria","Eastern","EU",2.842468
"18","2018","BGR","BG","Bulgaria","Eastern","EU",3.014784
"19","2010","CYP","CY","Cyprus","Southern","EU",-0.905856
"20","2018","CYP","CY","Cyprus","Southern","EU",1.308305
"21","2008","CYP","CY","Cyprus","Southern","EU",-0.905856
"22","2016","CYP","CY","Cyprus","Southern","EU",1.308305
"23","2012","CYP","CY","Cyprus","Southern","EU",-0.905856
"24","2014","CYP","CY","Cyprus","Southern","EU",1.308305
"25","2016","CZE","CZ","Czech Republic","Eastern","EU",-0.985529
"26","2008","CZE","CZ","Czech Republic","Eastern","EU",-0.985529
"27","2010","CZE","CZ","Czech Republic","Eastern","EU",-0.985529
"28","2014","CZE","CZ","Czech Republic","Eastern","EU",-0.985529
"29","2018","CZE","CZ","Czech Republic","Eastern","EU",1.202692
"30","2012","CZE","CZ","Czech Republic","Eastern","EU",-0.985529
"31","2014","DEU","DE","Germany","Continental","EU",1.55844
"32","2018","DEU","DE","Germany","Continental","EU",1.656641
"33","2010","DEU","DE","Germany","Continental","EU",0.057628
"34","2016","DEU","DE","Germany","Continental","EU",1.55844
"35","2008","DEU","DE","Germany","Continental","EU",-0.131363
"36","2012","DEU","DE","Germany","Continental","EU",0.346673
"37","2018","DNK","DK","Denmark","Nordic","EU",1.108197
"38","2016","DNK","DK","Denmark","Nordic","EU",1.189722
