"","year","country_code","code_2","country","region","eu_member","egov_index","epar_index","online_ser_index","hum_cap_index","telcom_infra_index"
"1","2008","IRL","IE","Ireland","Anglo-Saxon","EU",0.7296,0.25,0.67558,0.99315,0.5217
"2","2008","ITA","IT","Italy","Southern","EU",0.668,0.22727,0.5117,0.95824,0.53891
"3","2008","LVA","LV","Latvia","Eastern","EU",0.5944,0.22727,0.44816,0.9654,0.37406
"4","2008","LTU","LT","Lithuania","Eastern","EU",0.6617,0.47727,0.60869,0.96879,0.40925
"5","2008","LUX","LU","Luxembourg","Continental","EU",0.7512,0.61363,0.60869,0.91567,0.73362
"6","2008","EST","EE","Estonia","Eastern","EU",0.76,0.72727,0.71237,0.97344,0.59577
"7","2008","POL","PL","Poland","Eastern","EU",0.6134,0.22727,0.53846,0.95595,0.34814
"8","2008","PRT","PT","Portugal","Southern","EU",0.6479,0.25,0.59866,0.9249,0.42153
"9","2008","ROU","RO","Romania","Eastern","EU",0.5383,0.04545,0.41471,0.90474,0.2992
"10","2008","AUT","AT","Austria","Continental","EU",0.7428,0.47727,0.66555,0.96637,0.59894
"11","2008","BEL","BE","Belgium","Continental","EU",0.6779,0.40909,0.53846,0.9771,0.52224
"12","2008","BGR","BG","Bulgaria","Eastern","EU",0.5719,0.04545,0.48494,0.92622,0.30707
"13","2008","HRV","HR","Croatia","Eastern","EU",0.565,0.13636,0.43143,0.89916,0.36832
"14","2008","CYP","CY","Cyprus","Southern","EU",0.6019,0.0909,0.47826,0.90387,0.42744
"15","2008","CZE","CZ","Czech Republic","Eastern","EU",0.6696,0.20454,0.64548,0.93618,0.42792
"16","2008","FIN","FI","Finland","Nordic","EU",0.7488,0.27272,0.6321,0.99333,0.62456
"17","2008","ESP","ES","Spain","Southern","EU",0.7228,0.36363,0.69899,0.98683,0.48336
"18","2008","FRA","FR","France","Continental","EU",0.8038,0.93181,0.82943,0.98183,0.59921
"19","2008","GRC","GR","Greece","Southern","EU",0.5718,0.0909,0.41471,0.96979,0.33561
"20","2008","HUN","HU","Hungary","Eastern","EU",0.6494,0.20454,0.61705,0.96043,0.37162
"21","2008","ISL","IS","Iceland","Nordic","Non-EU",0.7176,0.06818,0.46153,0.97789,0.72099
"22","2008","CHE","CH","Switzerland","Continental","Non-EU",0.7626,0.40909,0.55852,0.94551,0.79002
"23","2008","GBR","GB","United Kingdom","Anglo-Saxon","EU",0.7872,0.43181,0.6923,0.96994,0.70222
"24","2008","SVK","SK","Slovak Republic","Eastern","EU",0.5889,0.06818,0.47491,0.9211,0.37415
"25","2010","IRL","IE","Ireland","Anglo-Saxon","EU",0.68655,0.44285,0.49841,0.9931,0.57386
"26","2010","ITA","IT","Italy","Southern","EU",0.57995,0.21428,0.28888,0.96836,0.49143
"27","2010","LVA","LV","Latvia","Eastern","EU",0.58261,0.27142,0.41587,0.9608,0.37621
"28","2010","LTU","LT","Lithuania","Eastern","EU",0.62952,0.52857,0.48253,0.96916,0.44132
"29","2010","LUX","LU","Luxembourg","Continental","EU",0.66721,0.17142,0.38095,0.9156,0.71375
"30","2010","EST","EE","Estonia","Eastern","EU",0.69653,0.68571,0.50158,0.96663,0.62729
"31","2010","POL","PL","Poland","Eastern","EU",0.55822,0.24285,0.3873,0.95516,0.33737
"32","2010","PRT","PT","Portugal","Southern","EU",0.57869,0.27142,0.3873,0.93566,0.4189
"33","2010","ROU","RO","Romania","Eastern","EU",0.54791,0.18571,0.41587,0.9226,0.30927
"34","2010","AUT","AT","Austria","Continental","EU",0.66793,0.5,0.47619,0.9598,0.57362
"35","2010","BEL","BE","Belgium","Continental","EU",0.72246,0.58571,0.62539,0.97513,0.56979
"36","2010","BGR","BG","Bulgaria","Eastern","EU",0.55902,0.3,0.40952,0.93503,0.33704
"37","2010","HRV","HR","Croatia","Eastern","EU",0.5858,0.45714,0.42222,0.91813,0.422
"38","2010","CYP","CY","Cyprus","Southern","EU",0.57053,0.48571,0.37142,0.91353,0.43266
"39","2010","CZE","CZ","Czech Republic","Eastern","EU",0.60602,0.12857,0.45396,0.9429,0.4258
"40","2010","FIN","FI","Finland","Nordic","EU",0.6967,0.41428,0.47936,0.99333,0.62399
