"","year","country_code","code_2","country","region","eu_member","ggov_deficit"
"1","2008","AUT","AT","Austria","Continental","EU",-1.49526533239112
"2","2010","AUT","AT","Austria","Continental","EU",-4.4412670586594
"3","2012","AUT","AT","Austria","Continental","EU",-2.1890705954037
"4","2014","AUT","AT","Austria","Continental","EU",-2.72914820817187
"5","2016","AUT","AT","Austria","Continental","EU",-1.53459116331167
"6","2018","AUT","AT","Austria","Continental","EU",0.175390981189136
"7","2008","BEL","BE","Belgium","Continental","EU",-1.09534486959375
"8","2010","BEL","BE","Belgium","Continental","EU",-4.08770609470009
"9","2012","BEL","BE","Belgium","Continental","EU",-4.31838232799818
"10","2014","BEL","BE","Belgium","Continental","EU",-3.0556821743147
"11","2016","BEL","BE","Belgium","Continental","EU",-2.36311261975241
"12","2018","BEL","BE","Belgium","Continental","EU",-0.793754563773811
"13","2008","CZE","CZ","Czech Republic","Eastern","EU",-1.96420355886674
"14","2010","CZE","CZ","Czech Republic","Eastern","EU",-4.15200094167854
"15","2012","CZE","CZ","Czech Republic","Eastern","EU",-3.8971002555203
"16","2014","CZE","CZ","Czech Republic","Eastern","EU",-2.07549140933957
"17","2016","CZE","CZ","Czech Republic","Eastern","EU",0.711776192532093
"18","2018","CZE","CZ","Czech Republic","Eastern","EU",0.912847653228065
"19","2008","DNK","DK","Denmark","Nordic","EU",3.17390813019585
"20","2010","DNK","DK","Denmark","Nordic","EU",-2.71027147514494
"21","2012","DNK","DK","Denmark","Nordic","EU",-3.49044439711785
"22","2014","DNK","DK","Denmark","Nordic","EU",1.14442765256798
"23","2016","DNK","DK","Denmark","Nordic","EU",-0.105986872094072
"24","2018","DNK","DK","Denmark","Nordic","EU",0.691173692510706
"25","2008","FIN","FI","Finland","Nordic","EU",4.17676884667851
"26","2010","FIN","FI","Finland","Nordic","EU",-2.53371106020421
"27","2012","FIN","FI","Finland","Nordic","EU",-2.15582206260539
"28","2014","FIN","FI","Finland","Nordic","EU",-2.9874768604668
"29","2016","FIN","FI","Finland","Nordic","EU",-1.69825025974862
"30","2018","FIN","FI","Finland","Nordic","EU",-0.886164278589501
"31","2008","FRA","FR","France","Continental","EU",-3.26373482970116
"32","2010","FRA","FR","France","Continental","EU",-6.88672167290052
"33","2012","FRA","FR","France","Continental","EU",-4.98098433361866
"34","2014","FRA","FR","France","Continental","EU",-3.90465934648671
"35","2016","FRA","FR","France","Continental","EU",-3.63725639835479
"36","2018","FRA","FR","France","Continental","EU",-2.29102799312234
"37","2008","DEU","DE","Germany","Continental","EU",-0.116356239372627
"38","2010","DEU","DE","Germany","Continental","EU",-4.37864607705506
"39","2012","DEU","DE","Germany","Continental","EU",0.009324994262943
"40","2014","DEU","DE","Germany","Continental","EU",0.579552713472226
"41","2016","DEU","DE","Germany","Continental","EU",1.16035141670442
"42","2018","DEU","DE","Germany","Continental","EU",1.83663497606073
"43","2008","GRC","GR","Greece","Southern","EU",-10.1760239361008
"44","2010","GRC","GR","Greece","Southern","EU",-11.2924079917294
"45","2012","GRC","GR","Greece","Southern","EU",-8.9978849939655
"46","2014","GRC","GR","Greece","Southern","EU",-3.58444899904709
"47","2016","GRC","GR","Greece","Southern","EU",0.543512768175437
"48","2018","GRC","GR","Greece","Southern","EU",1.02099124007557
"49","2008","HUN","HU","Hungary","Eastern","EU",-3.78710797316346
"50","2010","HUN","HU","Hungary","Eastern","EU",-4.43559849762698
"51","2012","HUN","HU","Hungary","Eastern","EU",-2.33049231389502
"52","2014","HUN","HU","Hungary","Eastern","EU",-2.78013933587436
"53","2016","HUN","HU","Hungary","Eastern","EU",-1.79879346217717
