"","year","country_code","code_2","country","region","eu_member","lfpr"
"1","2008","AUT","AT","Austria","Continental","EU",73.8925101265682
"2","2010","AUT","AT","Austria","Continental","EU",74.4254272245125
"3","2012","AUT","AT","Austria","Continental","EU",75.1133270134342
"4","2014","AUT","AT","Austria","Continental","EU",75.381149109162
"5","2016","AUT","AT","Austria","Continental","EU",76.2015934063179
"6","2018","AUT","AT","Austria","Continental","EU",76.7899812636817
"7","2008","BEL","BE","Belgium","Continental","EU",67.1068707592461
"8","2010","BEL","BE","Belgium","Continental","EU",67.6639181558885
"9","2012","BEL","BE","Belgium","Continental","EU",66.9352803483041
"10","2014","BEL","BE","Belgium","Continental","EU",67.7221121470773
"11","2016","BEL","BE","Belgium","Continental","EU",67.6234639229809
"12","2018","BEL","BE","Belgium","Continental","EU",68.5947218210605
"13","2008","CZE","CZ","Czech Republic","Eastern","EU",69.6723523696426
"14","2010","CZE","CZ","Czech Republic","Eastern","EU",70.1698426716958
"15","2012","CZE","CZ","Czech Republic","Eastern","EU",71.5893810510379
"16","2014","CZE","CZ","Czech Republic","Eastern","EU",73.5177649890673
"17","2016","CZE","CZ","Czech Republic","Eastern","EU",75.0001434979854
"18","2018","CZE","CZ","Czech Republic","Eastern","EU",76.5685969532872
"19","2008","FIN","FI","Finland","Nordic","EU",76.1164499717354
"20","2010","FIN","FI","Finland","Nordic","EU",74.6344206974128
"21","2012","FIN","FI","Finland","Nordic","EU",75.3902923644621
"22","2014","FIN","FI","Finland","Nordic","EU",75.4798052134059
"23","2016","FIN","FI","Finland","Nordic","EU",76.0387223744648
"24","2018","FIN","FI","Finland","Nordic","EU",78.0384465724712
"25","2008","FRA","FR","France","Continental","EU",69.5489548954896
"26","2010","FRA","FR","France","Continental","EU",69.9842060502976
"27","2012","FRA","FR","France","Continental","EU",70.4552636056489
"28","2014","FRA","FR","France","Continental","EU",71.0143867349427
"29","2016","FRA","FR","France","Continental","EU",71.4240297375951
"30","2018","FRA","FR","France","Continental","EU",71.935097622364
"31","2008","GRC","GR","Greece","Southern","EU",66.6594250418162
"32","2010","GRC","GR","Greece","Southern","EU",67.8365442864342
"33","2012","GRC","GR","Greece","Southern","EU",67.4698496124806
"34","2014","GRC","GR","Greece","Southern","EU",67.4265045723134
"35","2016","GRC","GR","Greece","Southern","EU",68.2165417149119
"36","2018","GRC","GR","Greece","Southern","EU",68.1762081430427
