"","year","country_code","code_2","country","region","eu_member","vdem_corr","icrg_qog","wbgi_gee"
"1","2008","AUT","AT","Austria","Continental","EU",0.086,0.94444442,1.7808397
"2","2010","AUT","AT","Austria","Continental","EU",0.086,0.94444442,1.8417627
"3","2012","AUT","AT","Austria","Continental","EU",0.085,0.91666669,1.5758725
"4","2014","AUT","AT","Austria","Continental","EU",0.048,0.91666669,1.5725857
"5","2016","AUT","AT","Austria","Continental","EU",0.048,0.91666669,1.511905
"6","2018","AUT","AT","Austria","Continental","EU",0.057,0.91666669,1.4533424
"7","2008","BEL","BE","Belgium","Continental","EU",0.028,0.80555552,1.3897556
"8","2010","BEL","BE","Belgium","Continental","EU",0.028,0.8888889,1.5750259
"9","2012","BEL","BE","Belgium","Continental","EU",0.028,0.8888889,1.6024764
"10","2014","BEL","BE","Belgium","Continental","EU",0.025,0.88657409,1.3815942
"11","2016","BEL","BE","Belgium","Continental","EU",0.025,0.8611111,1.3262135
"12","2018","BEL","BE","Belgium","Continental","EU",0.026,0.8611111,1.1717482
"13","2008","CZE","CZ","Czech Republic","Eastern","EU",0.254,0.66666663,1.0136416
"14","2010","CZE","CZ","Czech Republic","Eastern","EU",0.242,0.66666663,0.90521771
"15","2012","CZE","CZ","Czech Republic","Eastern","EU",0.233,0.66666663,0.92892194
"16","2014","CZE","CZ","Czech Republic","Eastern","EU",0.228,0.66898149,1.0175929
"17","2016","CZE","CZ","Czech Republic","Eastern","EU",0.221,0.69444442,1.0367395
"18","2018","CZE","CZ","Czech Republic","Eastern","EU",0.229,0.69444442,0.92220807
"19","2008","DNK","DK","Denmark","Nordic","EU",0.005,0.97222221,2.251272
"20","2010","DNK","DK","Denmark","Nordic","EU",0.005,0.97222221,2.0967896
"21","2012","DNK","DK","Denmark","Nordic","EU",0.005,0.97222221,1.9845674
"22","2014","DNK","DK","Denmark","Nordic","EU",0.006,0.97222221,1.8190073
"23","2016","DNK","DK","Denmark","Nordic","EU",0.01,0.97222221,1.8760539
"24","2018","DNK","DK","Denmark","Nordic","EU",0.012,0.97222221,1.8716311
"25","2008","EST","EE","Estonia","Eastern","EU",0.044,0.59722221,1.1618408
"26","2010","EST","EE","Estonia","Eastern","EU",0.036,0.59722221,1.0857006
"27","2012","EST","EE","Estonia","Eastern","EU",0.037,0.61574078,0.95453799
"28","2014","EST","EE","Estonia","Eastern","EU",0.036,0.62731481,1.0166795
"29","2016","EST","EE","Estonia","Eastern","EU",0.035,0.65277779,1.0908567
"30","2018","EST","EE","Estonia","Eastern","EU",0.043,0.65277779,1.1919379
"31","2008","FIN","FI","Finland","Nordic","EU",0.032,1,2.0508413
"32","2010","FIN","FI","Finland","Nordic","EU",0.032,1,2.2293396
"33","2012","FIN","FI","Finland","Nordic","EU",0.032,0.98148149,2.2204776
"34","2014","FIN","FI","Finland","Nordic","EU",0.027,0.97222221,1.9982756
"35","2016","FIN","FI","Finland","Nordic","EU",0.033,0.97222221,1.8289077
"36","2018","FIN","FI","Finland","Nordic","EU",0.053,0.97222221,1.9842085
"37","2008","FRA","FR","France","Continental","EU",0.073,0.80555552,1.582908
"38","2010","FRA","FR","France","Continental","EU",0.072,0.79398149,1.430301
"39","2012","FRA","FR","France","Continental","EU",0.073,0.77777779,1.3402793
"40","2014","FRA","FR","France","Continental","EU",0.069,0.75231481,1.4031703
"41","2016","FRA","FR","France","Continental","EU",0.069,0.77777779,1.4052522
"42","2018","FRA","FR","France","Continental","EU",0.079,0.75,1.4805259
"43","2008","DEU","DE","Germany","Continental","EU",0.015,0.8888889,1.5228357
"44","2010","DEU","DE","Germany","Continental","EU",0.016,0.8888889,1.5711718
"45","2012","DEU","DE","Germany","Continental","EU",0.016,0.8888889,1.5933691
"46","2014","DEU","DE","Germany","Continental","EU",0.023,0.8888889,1.7313915
"47","2016","DEU","DE","Germany","Continental","EU",0.024,0.8888889,1.7345681
"48","2018","DEU","DE","Germany","Continental","EU",0.031,0.8888889,1.6196328
"49","2008","GRC","GR","Greece","Southern","EU",0.396,0.6111111,0.58529228
"50","2010","GRC","GR","Greece","Southern","EU",0.39,0.6111111,0.55603933
"51","2012","GRC","GR","Greece","Southern","EU",0.378,0.6111111,0.31980017
"52","2014","GRC","GR","Greece","Southern","EU",0.231,0.61342591,0.39858639
"53","2016","GRC","GR","Greece","Southern","EU",0.213,0.6388889,0.22667781
"54","2018","GRC","GR","Greece","Southern","EU",0.284,0.6388889,0.33826089
"55","2008","HUN","HU","Hungary","Eastern","EU",0.338,0.6388889,0.70731896
"56","2010","HUN","HU","Hungary","Eastern","EU",0.383,0.6388889,0.66666961
"57","2012","HUN","HU","Hungary","Eastern","EU",0.437,0.6388889,0.62884176
"58","2014","HUN","HU","Hungary","Eastern","EU",0.456,0.6388889,0.53344369
"59","2016","HUN","HU","Hungary","Eastern","EU",0.468,0.6388889,0.46430165
"60","2018","HUN","HU","Hungary","Eastern","EU",0.482,0.6388889,0.48731089
