"","year","country_code","code_2","country","region","eu_member","fpu_em_clerks","fpu_em_elem_ocupation","fpu_em_professional","fpu_em_senior_official","fpu_em_technician","fsppaid_em","no_ed_sppaid_em","pri_ed_sppaid_em","sec_ed_sppaid_em","ter_ed_sppaid_em","tot_em_ter_ed_wpsec","psec_sformal_em","psec_spaid_em","psec_stotal_em","psec_spaid_em_rural","psec_spaid_em_urban","wbill_per_gdp","wbill_per_pub_expenditure"
"1","2008","CHE","CH","Switzerland","Continental","Non-EU",0.769418299198151,0.628458678722382,0.493879586458206,0.364323318004608,0.775718510150909,0.649914443492889,0.000828037387691438,0.114096015691757,0.44197478890419,0.443101167678833,0.292032152414322,0.241176635026932,0.241084456443787,0.209308430552483,0.2374427318573,0.2416752576828,6.9105899,22.7056805452956
"2","2010","CHE","CH","Switzerland","Continental","Non-EU",0.761173903942108,0.870709657669067,0.61608761548996,0.471718370914459,0.681161344051361,0.658111214637756,0,0.112520150840282,0.439297944307327,0.44818189740181,0.309208571910858,0.26849228143692,0.26846969127655,0.237140849232674,0.275206208229065,0.267405092716217,7.3417865,22.9098816612911
"3","2012","CHE","CH","Switzerland","Continental","Non-EU",0.780456483364105,0.886470556259155,0.61460953950882,0.431016802787781,0.685151875019073,0.660045504570007,0,0.0964126884937286,0.435389757156372,0.468197554349899,0.317039430141449,0.271193623542786,0.271193623542786,0.242157712578773,0.255752623081207,0.275732696056366,7.4940503,23.2863945980682
"4","2014","CHE","CH","Switzerland","Continental","Non-EU",0.78114265203476,0.775084257125854,0.611589789390564,0.523490786552429,0.740478932857513,0.650449931621552,0,0.100966356694698,0.411540329456329,0.487493306398392,0.319725871086121,0.268928498029709,0.268928498029709,0.238451406359673,0.27511915564537,0.267058074474335,7.4839537,22.9185167656517
"5","2016","CHE","CH","Switzerland","Continental","Non-EU",0.820903539657593,0.727062940597534,0.661438286304474,0.46998593211174,0.757123827934265,0.667692422866821,0,0.0811458304524422,0.412403166294098,0.506451010704041,0.330275446176529,0.279844373464584,0.279989928007126,0.251348733901978,0.275572896003723,0.281257390975952,7.5695382,22.9872940567508
"6","2018","CHE","CH","Switzerland","Continental","Non-EU",0.837254762649536,0.85306179523468,0.640534400939941,0.580407619476318,0.745602309703827,0.690766274929047,0,0.063802644610405,0.412602841854095,0.523594498634338,0.329875349998474,0.294307172298431,0.294307172298431,0.264504373073578,0.31874680519104,0.289368808269501,7.5983822,23.0260099311603
"7","2008","ITA","IT","Italy","Southern","EU",0.579763293266296,0.575593292713165,0.552219986915588,0.115678571164608,0.751539885997772,0.584352076053619,0.00058568810345605,0.183417245745659,0.394490897655487,0.42150616645813,0.398551374673843,0.28541100025177,0.28541100025177,0.211996749043465,0.300341695547104,0.282743841409683,10.4323068147494,21.811048030907
"8","2010","ITA","IT","Italy","Southern","EU",0.649329841136932,0.543806910514832,0.612636148929596,0.120972022414207,0.726591050624847,0.593651354312897,0.00657583447173238,0.192835777997971,0.378283977508545,0.422304421663284,0.356479465961456,0.248453751206398,0.248453751206398,0.186340600252151,0.268380135297775,0.245089322328568,10.7539038276364,21.5551896703785
"9","2012","ITA","IT","Italy","Southern","EU",0.665529549121857,0.54204523563385,0.669173896312714,0.335851311683655,0.614198327064514,0.614161014556885,0.0106434244662523,0.171267256140709,0.375246852636337,0.442842453718185,0.364691585302353,0.257016897201538,0.257016897201538,0.193558856844902,0.299266129732132,0.250490099191666,10.2984940477851,20.2776147055485
"10","2014","ITA","IT","Italy","Southern","EU",0.691468477249146,0.590612709522247,0.677323400974274,0.374195992946625,0.600839853286743,0.632009446620941,0.00192552839871496,0.136539250612259,0.373530834913254,0.488004386425018,0.340693324804306,0.253811031579971,0.253811031579971,0.191673040390015,0.290517389774323,0.248464033007622,10.0792501296377,19.8022536589857
"11","2016","ITA","IT","Italy","Southern","EU",0.67529034614563,0.557045459747314,0.650660872459412,0.326126515865326,0.613966226577759,0.60806280374527,0.000569075171370059,0.138165503740311,0.403447061777115,0.457818359136581,0.356288909912109,0.253188967704773,0.253188967704773,0.194582849740982,0.253473490476608,0.253103971481323,9.71083379097468,19.8021904821667
"12","2018","ITA","IT","Italy","Southern","EU",0.669766128063202,0.561464309692383,0.703566312789917,0.224763229489326,0.605169832706451,0.620564818382263,0.000818837434053421,0.138904392719269,0.393150568008423,0.467126190662384,0.351682782173157,0.238298997282982,0.238298997282982,0.185809031128883,0.232916966080666,0.239999800920486,9.69606299841101,19.9870955458478
"13","2008","LVA","LV","Latvia","Eastern","EU",1,0.849093854427338,0.767829954624176,0.585075795650482,0.734265685081482,0.728676497936249,0,0.0722380131483078,0.391645848751068,0.536116123199463,0.348700642585754,0.227477923035622,0.227477923035622,0.206601187586784,0.245363250374794,0.213176608085632,11.3882930372936,31.1020941209024
"14","2010","LVA","LV","Latvia","Eastern","EU",0.946635067462921,0.76225221157074,0.788451969623566,0.577227652072906,0.767148673534393,0.736405193805695,0,0.0541764460504055,0.350580304861069,0.595243215560913,0.367021530866623,0.26371443271637,0.262985795736313,0.238373935222626,0.287732541561127,0.240674585103989,10.3405742104893,24.0344085500246
"15","2012","LVA","LV","Latvia","Eastern","EU",0.923936307430267,0.825748205184937,0.841777086257935,0.655946731567383,0.719109058380127,0.752338111400604,0,0.0485460944473743,0.305465668439865,0.64598822593689,0.3628049492836,0.262069046497345,0.261436253786087,0.237634718418121,0.302016794681549,0.231800183653831,9.16200020707667,24.6437601913535
"16","2014","LVA","LV","Latvia","Eastern","EU",0.947830438613892,0.751924932003021,0.837312996387482,0.732896387577057,0.733545958995819,0.760213196277618,0.00169155513867736,0.0376188680529594,0.314612865447998,0.646076679229736,0.345391720533371,0.255822479724884,0.255033195018768,0.23105400800705,0.280889093875885,0.236214011907578,9.60320201011391,25.3986902771237
"17","2016","LVA","LV","Latvia","Eastern","EU",0.951801598072052,0.773420631885529,0.785362005233765,0.701872706413269,0.720143556594849,0.751643180847168,0.00179764640051872,0.0346144884824753,0.290801674127579,0.672786176204681,0.358695715665817,0.263333141803741,0.260927349328995,0.232353076338768,0.301291674375534,0.240330070257187,10.1640358863748,27.7655743527833
"18","2018","LVA","LV","Latvia","Eastern","EU",0.908770203590393,0.791689574718475,0.808347165584564,0.704184770584106,0.760225117206573,0.769116878509521,0,0.0377868339419365,0.277351200580597,0.684861958026886,0.320714294910431,0.254148095846176,0.252555102109909,0.226847797632217,0.285251170396805,0.235579296946526,10.4208966441667,27.72231700806
